State_a,State,City,Population,Violent_crime,Murder_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,city_state,longitude,latitude
ALABAMA,alabama,Abbeville,2645.00,11.00,1.00,1.00,2.00,7.00,63.00,21.00,39.00,3.00,,"Abbeville,alabama",-85.2504893,31.5718352
ALABAMA,alabama,Adamsville,4481.00,19.00,1.00,0.00,7.00,11.00,321.00,58.00,252.00,11.00,,"Adamsville,alabama",-86.9561059,33.6009389
ALABAMA,alabama,Addison,744.00,1.00,0.00,1.00,0.00,0.00,25.00,6.00,17.00,2.00,,"Addison,alabama",-87.1814012,34.2023243
ALABAMA,alabama,Alabaster,31170.00,44.00,0.00,2.00,11.00,31.00,640.00,70.00,544.00,26.00,,"Alabaster,alabama",-86.8163773,33.2442813
ALABAMA,alabama,Alexander City,14692.00,119.00,2.00,16.00,12.00,89.00,661.00,121.00,510.00,30.00,,"Alexander City,alabama",-85.9538532,32.944012
ALABAMA,alabama,Aliceville,2419.00,7.00,0.00,0.00,2.00,5.00,48.00,16.00,26.00,6.00,,"Aliceville,alabama",-88.1514166,33.1295681
ALABAMA,alabama,Andalusia,9079.00,34.00,1.00,4.00,6.00,23.00,491.00,95.00,379.00,17.00,,"Andalusia,alabama",-86.4832913,31.3085039
ALABAMA,alabama,Anniston,22648.00,461.00,5.00,39.00,78.00,339.00,1988.00,770.00,1120.00,98.00,,"Anniston,alabama",-85.8316318,33.6598257
ALABAMA,alabama,Arab,8295.00,32.00,0.00,5.00,4.00,23.00,640.00,166.00,414.00,60.00,,"Arab,alabama",-86.4958219,34.3181497
ALABAMA,alabama,Ardmore,1304.00,2.00,0.00,0.00,0.00,2.00,31.00,7.00,23.00,1.00,,"Ardmore,alabama",-86.8396032,34.9840722
ALABAMA,alabama,Arley,353.00,3.00,0.00,0.00,0.00,3.00,27.00,12.00,11.00,4.00,,"Arley,alabama",-87.2122325,34.0789929
ALABAMA,alabama,Ashford,2177.00,2.00,0.00,0.00,0.00,2.00,54.00,8.00,46.00,0.00,,"Ashford,alabama",-85.236321,31.1829562
ALABAMA,alabama,Ashland,1926.00,9.00,0.00,0.00,1.00,8.00,63.00,24.00,35.00,4.00,,"Ashland,alabama",-85.8360741,33.2737256
ALABAMA,alabama,Ashville,2239.00,10.00,0.00,1.00,0.00,9.00,88.00,35.00,48.00,5.00,,"Ashville,alabama",-86.2544223,33.8370433
ALABAMA,alabama,Athens,23972.00,16.00,0.00,1.00,11.00,4.00,755.00,116.00,627.00,12.00,,"Athens,alabama",-86.9716741,34.8028661
ALABAMA,alabama,Atmore,10099.00,52.00,2.00,4.00,9.00,37.00,201.00,41.00,150.00,10.00,,"Atmore,alabama",-87.4938708,31.0237921
